,code,name,Market,33Sector,17Sector,Entrydate,ClosePrice,350_UP,Vol,Vol50,Vol50min,atr20
0,4746,東計電算,市場第一部（内国株）,情報・通信業,情報通信・サービスその他 ,2020-04-24,4220.0,4102.871,6000.0,16674.0,3200.0,0.043
1,4531,有機合成薬品工業,市場第一部（内国株）,化学,素材・化学 ,2020-04-24,377.0,321.762,1667900.0,1891240.0,25600.0,0.074
2,4465,ニイタカ,市場第一部（内国株）,化学,素材・化学 ,2020-04-24,2551.0,2552.218,111400.0,164782.0,63500.0,0.066
3,7899,ＭＩＣＳ化学,JASDAQ(スタンダード・内国株）,化学,素材・化学 ,2020-04-24,400.0,387.887,355500.0,153682.0,18300.0,0.09
4,7634,星医療酸器,JASDAQ(スタンダード・内国株）,卸売業,商社・卸売 ,2020-04-24,4675.0,4825.887,14200.0,14750.0,100.0,0.074
5,6722,エイアンドティー,JASDAQ(スタンダード・内国株）,電気機器,電機・精密 ,2020-04-24,1697.0,1598.337,112500.0,39514.0,6700.0,0.06
6,4912,ライオン,市場第一部（内国株）,化学,素材・化学 ,2020-04-24,2391.0,2389.238,1155800.0,1770710.0,751300.0,0.035
7,3768,リスクモンスター,市場第二部（内国株）,情報・通信業,情報通信・サービスその他 ,2020-04-24,1730.0,1746.011,9200.0,26742.0,8400.0,0.048
8,9697,カプコン,市場第一部（内国株）,情報・通信業,情報通信・サービスその他 ,2020-04-24,3370.0,3396.144,390000.0,845166.0,319000.0,0.042
9,7504,高速,市場第一部（内国株）,卸売業,商社・卸売 ,2020-04-24,1428.0,1366.134,40400.0,22620.0,3300.0,0.042
10,9265,ヤマシタヘルスケアホールディングス,市場第一部（内国株）,卸売業,商社・卸売 ,2020-04-24,2019.0,2024.626,47800.0,31192.0,11800.0,0.052
11,4552,ＪＣＲファーマ,市場第一部（内国株）,医薬品,医薬品 ,2020-04-24,10720.0,10621.101,98300.0,161866.0,55600.0,0.035
12,3921,ネオジャパン,市場第一部（内国株）,情報・通信業,情報通信・サービスその他 ,2020-04-24,1230.0,1236.365,20100.0,77658.0,20100.0,0.064
13,3080,ジェーソン,JASDAQ(スタンダード・内国株）,小売業,小売 ,2020-04-24,447.0,440.812,56200.0,28180.0,7800.0,0.053
